country;operator;type;id
Gabon;Exploitation Forestiere de Moanda;Logging company;
Gabon;Exploitation Gabonaise de Grumes;Logging company;
Gabon;Export Negoce du Bois;Logging company;
Gabon;FOREEX;Logging company;
Gabon;Forestiere d'Exploitation et d'Exportation;Logging company;
Gabon;Forestry Development Gabon;Logging company;
Gabon;GABON ALONG SARL;Logging company;
Gabon;Gabon Export Bois-ASSALA-Compagnie Bois Kota;Logging company;
Gabon;GAW/GSEZW-HO/OI;Logging company;
Gabon;GAW-Ngounie;Logging company;
Gabon;GEB-ASSALA-CBK;Logging company;
Gabon;GIB-Tale;Logging company;
Gabon;GIE OKANO;Logging company;
Gabon;GIW/GSEZW-Oyem;Logging company;
Gabon;GIW-Estuaire;Logging company;
Gabon;GIW-Minvoul;Logging company;
Gabon;Grand Bois;Logging company;
Gabon;GRANDE MAYUMBA;Logging company;
Gabon;GSEZ/GSEZW-Sud Ngounie;Logging company;
Gabon;GSEZ-Olam Zolende;Logging company;
Gabon;GSEZW-Lambarene Lacs;Logging company;
Gabon;HUA JIA;Logging company;
Gabon;IBNG Lambarene;Logging company;
Gabon;IFEG;Logging company;
Gabon;IMENOU PLATEAU;Logging company;
Gabon;Industrie Forestiere de Lambarene;Logging company;
Gabon;Leroy;Logging company;
Gabon;LEROY GABON;Logging company;
Gabon;Mitzic Exploitation Forestiere;Logging company;
Gabon;MONT PELE BOIS;Logging company;
Gabon;New Oriental International Investiment;Logging company;
Gabon;OBANGUE;Logging company;
Gabon;OLAM GABON / MOMBA;Logging company;
Gabon;OLAM GABON Makokou;Logging company;
Gabon;OSSIE Industrie;Logging company;
Gabon;PENG XIN SARL;Logging company;
Gabon;PENG XIN SARL;Logging company;
Gabon;PRECIOUS WOOD GABON;Logging company;
Gabon;PRECIOUS WOOD/ex CEB;Logging company;
Gabon;Rain Forest Management;Logging company;
Gabon;Regroupement FOREEX OKANO/TCBG;Logging company;
Gabon;RIMBUNAN HIJAU GABON;Logging company;
Gabon;ROUGIER GABON;Logging company;
Gabon;Rougier Haut Abanga;Logging company;
Gabon;Rougier Ogooue-Ivindo;Logging company;
Gabon;SBL/TRB;Logging company;
Gabon;SEAB/Monsieur YAP CHOON HING;Logging company;
Gabon;SEEF;Logging company;
Gabon;SFIK;Logging company;
Gabon;SNBG-OVG;Logging company;
Gabon;Societe des Bois de Lastourville/ Transbois;Logging company;
Gabon;Societe Equatoriale d'Exploitation Forestiere;Logging company;
Gabon;Societe Forestiere Industrielle de Koulamoutou;Logging company;
Gabon;Societe Import Export Bois;Logging company;
Gabon;Societe Nationale des Bois du Gabon;Logging company;
Gabon;Societe Taurian Ressource Gabon;Logging company;
Gabon;Societe Transformation Integree Bois Gabon;Logging company;
Gabon;STIBG;Logging company;
Gabon;SUNLY GABON CENTRE SUD;Logging company;
Gabon;SUNLY OKONDJA;Logging company;
Gabon;SUNRY GABON Nord Est;Logging company;
Gabon;SUNRY GABON NORD-EST;Logging company;
Gabon;TALIBOIS;Logging company;
Gabon;TBNI;Logging company;
Gabon;Transport Bois Negoce International;Logging company;
Gabon;Tropical Logs Production;Logging company;
Gabon;Tropical Timber Industry Board;Logging company;
Gabon;TTIB;Logging company;
Gabon;WAN CHUAN TIMBER SARL;Logging company;
Indonesia;PT Berkala Maju Bersama (BMB) and PT Jaya Jadi Utama (JJU);Industrial agriculture;
Indonesia;PT FLORA NUSA PERDANA;Industrial agriculture;
Indonesia;PT KAHAYAN AGRO PLANTATIONS;Industrial agriculture;
Indonesia;PT NUSANTARA SAWIT PERSADA;Industrial agriculture;
Indonesia;PT PRASETYA MITRA MUDA;Industrial agriculture;
Indonesia;PT Sawit Lamandau Raya;Industrial agriculture;
Indonesia;PT Suryamas Cipta Perkasa (SCP);Industrial agriculture;
Indonesia;CV Surya Agung Mandiri (SAM);Logging company;
Indonesia;PT Albasia Bhumipala Persada (ABP);Logging company;
Indonesia;PT Bahana Lestari Bhumipala Persada (BLBP);Logging company;
Indonesia;PT Budi Lampung Sejahtera (BLS);Logging company;
Indonesia;PT Decorindo Inti Alam Wood (DIAW);Logging company;
Indonesia;PT Gaung Satyagraha Agrindo (GSA);Logging company;
Indonesia;PT Hasnur Jaya Utama (HJU);Logging company;
Indonesia;PT Karya Jaya Berdikari (KJB);Logging company;
Indonesia;PT Lestari Asri Jaya (LAJ);Logging company;
Indonesia;PT Panca Usaha Palopo Plywood (PUPP);Logging company;
Indonesia;PT Puji Sampurna;Logging company;
Indonesia;PT Rimba Hutani Mas (RHM);Logging company;
Indonesia;PT Rotua;Logging company;
Indonesia;PT Seng Fong Moulding Perkasa (SFMP);Logging company;
Indonesia;PT Telaga Mas Kalimantan Company (TMKC);Logging company;
Indonesia;PT Toba Pulp Lestari (TPL);Logging company;
Cote d’Ivoire;SODEFOR;Logging company;
Cote d’Ivoire;STBC;Logging company;
Liberia;ICC/Foret Venture;Logging company;
Malaysia;Shin Yang;Logging company;
