,attributai,b_cert_af,b_cert_leg,b_cert_tra,created_date,created_user,d_cert_af,d_cert_leg,d_cert_tra,date_amgt,date_attr,date_con_d,date_con_p,desc_type,exploitant,globalid,last_edited_date,last_edited_user,nom_conces,objectid,s_cert_af,statu_amgt,statu_attr,statu_conv,sup_adm_ha,t_cert_af,t_cert_leg,t_cert_tra,type_
24,CUF,,,,1509528188000,KENDY,,,,1080777600000.0,1244505600000.0,,890870400000.0,Concession Forestière,CUF,{492A7982-82EE-424B-A030-D802B2D6FC43},1520442078000,KENDIE,1005,715,,amenge,attribue,provisoire,56192.0,,,,4110110
25,SEFECCAM,,,,1509528188000,KENDY,,,,1448496000000.0,1354752000000.0,,1354752000000.0,Concession Forestière,SEFECCAM,{FF18CAB3-65CB-48B6-9B02-E4A35973BDE2},1520428432000,KENDIE,1092,710,,amenge,attribue,provisoire,28114.0,,,,4110110
26,SEFAC,,,,1509528188000,KENDY,,1277856000000.0,,1388534400000.0,901238400000.0,1290988800000.0,890956800000.0,Concession Forestière,SEFAC,{0EEEE635-47D7-45BF-B0D2-A9D3491690D5},1520442769000,KENDIE,1016,745,,revise,attribue,definitive,59340.0,,OLB,,4110110
27,SOFOHNY,,,,1509528188000,KENDY,,,,1454284800000.0,1390867200000.0,1375747200000.0,1033516800000.0,Concession Forestière,SOFOHNY,{E2A2D8AF-023F-4300-8D86-55E06EF2E5D8},1520442752000,KENDIE,1063,726,,revise,attribue,provisoire,42556.0,,,,4110110
28,SEFAC,,,,1509528188000,KENDY,,1277856000000.0,,1444003200000.0,1002153600000.0,1290988800000.0,1002153600000.0,Concession Forestière,SEFAC,{D1A6E36A-61E4-4A97-87E4-2D9C1FEB2A48},1520442711000,KENDIE,1053,635,,revise,attribue,definitive,66688.0,,OLB,,4110110
29,CANABOIS,,,,1509528188000,KENDY,,,,1248912000000.0,1120176000000.0,,1164758400000.0,Concession Forestière,CANABOIS,{B8154319-DAE8-4595-B3F5-51D479116425},1520442765000,KENDIE,1049,742,,revise,attribue,provisoire,33863.0,,,,4110110
30,SIENCAM,,,,1509528188000,KENDY,,,,1277683200000.0,1384905600000.0,1400112000000.0,1385510400000.0,Concession Forestière,SIENCAM,{A2A1272F-A450-424C-87A2-64270B66044E},1520442706000,KENDIE,1029,634,,revise,attribue,definitive,94917.0,,,,4110110
31,SIENCAM,,,,1509528188000,KENDY,,,,1464739200000.0,1385510400000.0,1400112000000.0,1385510400000.0,Concession Forestière,SIENCAM,{AA7DCDE8-AD83-4945-90A9-91AF1B22FEA9},1520442763000,KENDIE,1086,732,,revise,attribue,definitive,55580.0,,,,4110110
32,PALLISCO,BV-FM/COC,,,1509528188000,KENDY,1223510400000.0,1304208000000.0,,1454284800000.0,972172800000.0,,1003708800000.0,Concession Forestière,PALLISCO,{10D74FE3-42AA-46CD-B173-6057F3524A3B},1520442746000,KENDIE,1054,708,,revise,attribue,provisoire,54150.0,FSC,OLB,,4110110
33,PALLISCO,BV-FM/COC,,,1509528188000,KENDY,1223510400000.0,1304208000000.0,,1454284800000.0,1287619200000.0,,972259200000.0,Concession Forestière,PALLISCO,{451812B7-F822-48BC-A778-CC963B871E6F},1520442738000,KENDIE,1041,692,,revise,attribue,provisoire,41202.0,FSC,OLB,,4110110
34,ETS KAKOUANDE,,,,1509528188000,KENDY,,,,1074211200000.0,1360886400000.0,,890956800000.0,Concession Forestière,ETS KAKOUANDE,{67AB65A7-15D9-4564-85AA-889F150630A1},1520442078000,KENDIE,1009,685,,amenge,attribue,provisoire,57137.0,,,,4110110
35,SABM,,,,1509528188000,KENDY,,,,1108512000000.0,1104537600000.0,,826761600000.0,Concession Forestière,SABM,{4426E997-B38F-49CE-BB38-5F2A4FE9583E},1520442079000,KENDIE,1026,657,,amenge,attribue,provisoire,107972.0,,,,4110110
36,SFEES,,,,1509528188000,KENDY,,,,1439424000000.0,1359936000000.0,,1359936000000.0,Concession Forestière,SFEES,{A9066BAC-89A7-4EDC-B6FE-88D459540741},1520442078000,KENDIE,1097,729,,amenge,attribue,provisoire,31803.0,,,,4110110
37,SIBM,,,,1509528188000,KENDY,,,,1293840000000.0,1143158400000.0,,1143158400000.0,Concession Forestière,SIBM,{1BF0AF11-4DBA-42E1-B016-4002FFD193EA},1520442078000,KENDIE,1079,724,,amenge,attribue,provisoire,30088.0,,,,4110110
38,IBC,,,,1509528188000,KENDY,,,,1388534400000.0,1360713600000.0,,1360713600000.0,Concession Forestière,IBC,{9677B6EA-82FE-4A33-A07D-EA520946C2F6},1520442078000,KENDIE,1102,684,,amenge,attribue,provisoire,77551.0,,,,4110110
