,ESRI_OID,att_name,attachmentid,auteur,content_type,data_size,date_doc,desc_type,doc_ref,doc_titre,globalid,nom_conces,nom_foret,type_,url
250,251,GIC AFE CP 2012.pdf,843,,application/pdf,852497,,,,,{F91C20CE-1BB8-4BCD-A0A8-6BBD2FA18F2A},,09-03-486,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/3471/attachments/843
251,252,P.A. 2006.pdf,6887,,application/pdf,2590968,,,,,{045946A9-B71C-42F5-8109-DCE3A2E40D28},1053,10-010,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/934/attachments/6887
252,253,UFA10063_CEQTB.pdf,5445,,application/pdf,368002,,,,,{6E5BA4B0-D689-4C18-A411-57D02FF7B2C1},1048,10-063,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/833/attachments/5445
253,254,Ams_ned'dakou_2014.pdf,919,,application/pdf,400277,,,,,{E5443E83-341F-45FB-BD95-F8DFC6ADE61C},,561,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/1683/attachments/919
254,255,PA FC de Mvanga 2015.pdf,808,,application/pdf,55253268,,,,,{D43FBE51-4F68-4272-B1A9-8E4EB2DAF1E1},1491,MVANGAN,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/781/attachments/808
255,256,Cradjamal CP 2013.pdf,940,,application/pdf,681042,,,,,{20860664-EC0E-460B-A4A1-2223DE40FDA4},,10-02-516,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/1393/attachments/940
256,257,Avis au public UFA 10 068.pdf,4475,,application/pdf,4608133,,,,,{350C84F9-2BBA-4139-86B4-632CFF393FD8},,10-068,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/1761/attachments/4475
257,258,Ndonkayak AMS 2003.pdf,939,,application/pdf,978444,,,,,{FB84711D-28DF-4851-B903-10205C4EBB6B},,07-02-263,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/1368/attachments/939
258,259,UFA11003_11004_IF_2009.pdf,5446,,application/pdf,2785259,,,,,{34661C43-933C-491C-A642-4148E4543D09},1089,11-003,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/829/attachments/5446
259,260,Cahier de charges VC_0901204 EQUATOBOIS.pdf,3219,,application/pdf,7975591,,,,,{6B8071D3-440B-4491-8EEB-7EA292A25D47},,0901204,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/4/4967/attachments/3219
260,261,UFA11001_CC_COPROV.pdf,5433,,application/pdf,2329286,,,,,{D5F0E375-EC69-4156-B5DF-FFC91D424319},1086,11-001,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/778/attachments/5433
261,262,UFA10046_APU_CLA_2002.pdf,5378,,application/pdf,292430,,,,,{90C567E0-FA45-4DBF-88DF-8F225C0B99DD},1046,10-046,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/839/attachments/5378
262,263,UFA09028_CC.pdf,5496,,application/pdf,3267054,,,,,{81C67818-57F0-422F-9FD1-F9B8FD9DEE91},1082,09-028,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/772/attachments/5496
263,264,UFA08006_COPROV.pdf,4521,,application/pdf,2354100,,,,,{3401C8E8-C259-498A-95AF-0A97F6AB6D9F},1002,08-006,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/822/attachments/4521
264,265,VC_09 01 323_2015.pdf,426,,application/pdf,2029052,,,,,{03D9FD66-A5AB-4519-A17C-5869E2C674A1},,0901323,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/4/809/attachments/426
265,266,FCOM SOCAOFCOBO AMS 2015.pdf,937,,application/pdf,1142672,,,,,{870EDDD6-479E-4BF4-A840-8C23F08DF804},,08-08-028,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/1680/attachments/937
266,267,UFA10011_AMS_1999.pdf,4974,,application/pdf,405985,,,,,{4D1E8DF8-A096-4DE6-B399-B6722729E06F},1013,10-011,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/858/attachments/4974
267,268,UFA10047_AMS.pdf,5149,,application/pdf,117169,,,,,{ADDC36FF-3B00-4330-87A6-B275F806CE0C},1057,10-047A,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/1754/attachments/5149
268,269,PA UFA 10 036 2015.pdf,816,,application/pdf,63032945,,,,,{F7DA3802-97ED-4424-AFD0-C107362CAB11},1103,10-036,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/830/attachments/816
269,270,FC_DJOUM_PA_2009.pdf,5203,,application/pdf,4824624,,,,,{EBF24EDA-3E9E-4A48-A7D6-6CB067280962},1479,DJOUM,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/915/attachments/5203
270,271,GIC AGRO-SAK NOTE.pdf,1251,,application/pdf,460995,,,,,{628E13E1-2515-4BB7-9025-AC756A84A7ED},,10-01-658,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/1901/attachments/1251
271,272,CP_ASSOK-ODOUMOU_2016.pdf,6,,application/pdf,826090,,,,,{C2AEF7B1-BE0E-44E1-A717-C9CBD7EAB317},,10-01-657,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/1413/attachments/6
272,273,FC_Martap_APU_CLA.pdf,5072,,application/pdf,3759803,,,,,{E40526C9-C1C4-4DB5-B10E-93BAFADD2F8A},,MARTAP,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/940/attachments/5072
273,274,AMS_Ajei community forest (ACUDA)2013.pdf,909,,application/pdf,1085148,,,,,{250D50D0-1A4B-4A5F-B757-1B3BB6948F37},,13-06-540,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/1520/attachments/909
274,275,UFA09011_CEQTB.pdf,5342,,application/pdf,413876,,,,,{6721EA0E-41E8-4EAB-A215-B92E0BB4F46C},1079,09-011,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/871/attachments/5342
275,276,UFA09017_CC.pdf,6006,,application/pdf,4166587,,,,,{766F888B-3AE0-42A5-850D-1CE58683CD21},1050,09-017,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/884/attachments/6006
276,277,UFA09011_CC.pdf,5409,,application/pdf,3222524,,,,,{3AD57B7A-1E2F-496A-A419-6C84F1828AC9},1079,09-011,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/871/attachments/5409
277,278,UFA09007_APU_CLA_2002.pdf,5831,,application/pdf,339615,,,,,{C4C2BECA-7D85-49E6-8FE6-C7D88DE45D7D},1073,09-007,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/768/attachments/5831
278,279,UFA09005b_AGPF.pdf,4738,,application/pdf,429006,,,,,{B568AE91-1C5E-4C7E-B747-0263824DF528},1034,09-005B,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/879/attachments/4738
279,280,PA 2011 UFA 09-024 Part I.pdf,6871,,application/pdf,48988844,,,,,{B147DC44-3D3C-4810-97AE-0D7EB5EF0832},1037,09-024,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/912/attachments/6871
280,281,UFA08008_AMS.pdf,4681,,application/pdf,533934,,,,,{02F941E0-C14C-44FD-A3F3-73011B3CEBF9},1030,08-008,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/853/attachments/4681
281,282,UFA11005_PA_2008.pdf,5525,,application/pdf,6148473,,,,,{C00FF0DC-2ADA-4C68-B91A-3F178B0CA89B},1087,11-005,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/947/attachments/5525
282,283,UFA10066_APU_CLA_2014.pdf,5199,,application/pdf,621698,,,,,{3859BBFD-8A62-4F69-B810-5F581CF0722A},1104,10-066,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/921/attachments/5199
283,284,AMS__COBISSAD_2016.pdf,9,,application/pdf,1045039,,,,,{F622A410-7022-4022-B567-C7D56E28DE59},,10-02-642,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/2232/attachments/9
284,285,PA UFA 08 005 revisé.pdf,8096,,application/pdf,36928078,,,,,{2CCA115B-96D7-4115-BF8D-DD28A2092730},1077,08-005,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/1753/attachments/8096
285,286,VC 10 01 308.pdf,3235,,application/pdf,3266893,,,,,{EF0ECFC8-64F6-42BE-BB4A-1CFF08CA49F4},,1001308,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/4/4569/attachments/3235
286,287,FC DIBENG CP 2012.pdf,838,,application/pdf,266238,,,,,{4879D603-29C4-4A9E-BBC2-C03DD0459DD3},,07-02-497,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/1578/attachments/838
287,288,UFA11006_AGPF.pdf,5341,,application/pdf,471893,,,,,{BF910036-C44B-479E-918A-20579A01B034},1092,11-006,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/815/attachments/5341
288,289,Ams_alkawal_2015.pdf,845,,application/pdf,478835,,,,,{9E26F1C4-C2DC-435A-9BF4-211A044CA0C5},,562,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/1526/attachments/845
289,290,UFA10007_APROPA_2008.pdf,4919,,application/pdf,2998915,,,,,{0EFFAD1D-210E-486F-9D94-E94A05E93F31},1010,10-007,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/845/attachments/4919
290,291,UFA10065_ACTIA.pdf,5062,,application/pdf,28882,,,,,{7871529F-5154-4EE1-8C6B-3F7A78BEB8D3},1090,10-065,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/796/attachments/5062
291,292,FC_YOKADOUMA_DECLA_2005.pdf,5358,,application/pdf,107964,,,,,{6E20A09D-24CD-45A2-BB63-27F0D76232F8},1478,YOKADOUMA,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/816/attachments/5358
292,293,FC_MINDOUROU_MESSAMENA_DECLA.pdf,5527,,application/pdf,1592395,,,,,{084A36C3-A547-4B9E-9012-A7CF41F349AF},1484,MESSAMENA-MINDOUROU,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/766/attachments/5527
293,294,FCOM DJOULGOUF AMS 2015.pdf,866,,application/pdf,968716,,,,,{0FF7D42C-C8F0-4246-98F7-EFE3DCCCB3D6},,628,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/1623/attachments/866
294,295,UFA09007_RIA_2008.pdf,6013,,application/pdf,304285,,,,,{7736E5CC-E3A1-40BB-8EDA-4BDE4ECF5441},1073,09-007,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/768/attachments/6013
295,296,Fcom_AJAM_AMS_13112015.pdf,820,,application/pdf,1256776,,,,,{18644259-D6CB-4D56-A9E5-4F543268EC49},,09-01-663,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/1823/attachments/820
296,297,UFA08001_QTRANS.pdf,5939,,application/pdf,1165766,,,,,{7B2F2705-7110-4BA5-BC26-B0F319EF31E4},1026,08-001,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/901/attachments/5939
297,298,UFA_09-008_APC_2002.pdf,1221,,application/pdf,388054,,,,,{EE660E54-F37D-4AED-A712-22CC907CD020},1073,09-008,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/866/attachments/1221
298,299,UFA10059_COPROV.pdf,5362,,application/pdf,614681,,,,,{CB60CD41-45DF-4B33-AD41-E9B012A65E73},1046,10-059,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/820/attachments/5362
299,300,VC_09 01 320_2015.pdf,451,,application/pdf,6869816,,,,,{91002224-9EB7-48DC-B088-93C9D35771D9},,0901320,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/4/753/attachments/451
300,301,UFA11003_APROPA_2010.pdf,5107,,application/pdf,515592,,,,,{035B5B13-B5F9-44F4-9C38-3A697CCE6928},1089,11-003,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/829/attachments/5107
301,302,UFA09015_CEQTB.pdf,5114,,application/pdf,401535,,,,,{0E4E2183-E5CB-4D56-AF7F-082AC0CD82D4},1035,09-015,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/773/attachments/5114
302,303,UFA09017_ACOPROV.pdf,5855,,application/pdf,260955,,,,,{A39B51C4-2DA0-4D93-A61D-352B2691307E},1050,09-017,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/884/attachments/5855
303,304,Fcom_COZANE_CP_20072015.pdf,406,,application/pdf,1828845,,,,,{5CCE7015-DB99-4462-969F-6785D61631C5},,10-02-608,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/2631/attachments/406
304,305,UFA08009_DC_2005.pdf,4478,,application/pdf,95598,,,,,{EA1A42E4-E343-4C9C-BD92-A12863F82F36},1031,08-009,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/913/attachments/4478
305,306,UFA10049_CC.pdf,5046,,application/pdf,2842237,,,,,{9BC756DB-0A72-4B1A-9B1D-F2DEF1E9152A},1085,10-049,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/810/attachments/5046
306,307,UFA09006_APROPA.pdf,5997,,application/pdf,71412,,,,,{E41F05B9-27F7-4F43-A162-F245566FDAF1},1001,09-006,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/867/attachments/5997
307,308,VC 09 01 407.pdf,3244,,application/pdf,3004243,,,,,{80EF3099-F5A9-4A0D-98E7-8899A0155681},,0901407,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/4/4170/attachments/3244
308,309,UFA10035_COPROV.pdf,5520,,application/pdf,5586326,,,,,{F6D0DFA0-FF5C-4AC8-AE35-07C494B7E2D2},1102,10-035,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/876/attachments/5520
309,310,UFA10053_CODEF_2010.pdf,6062,,application/pdf,66605,,,,,{7247F7FA-EFF8-476A-9A1A-1518F5753F40},1072,10-053,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/939/attachments/6062
310,311,DECLA 10039.pdf,6451,,application/pdf,2622298,,,,,{3744004A-BC53-4303-A454-AFE826837B03},1044,10-039,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/892/attachments/6451
311,312,FC_GARI_GOMBO_DECLA_2006_2.pdf,5139,,application/pdf,67845,,,,,{26833902-524C-4B03-8A14-DFB2C38FB36D},1476,GARI NGOMBO,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/927/attachments/5139
312,313,Fcom_KBNRMC_CP_27082015.pdf,430,,application/pdf,1475033,,,,,{FE5480D6-D8CB-415A-A5D6-8E957D5CE660},,11-05-617,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/2648/attachments/430
313,314,attribution.pdf,5891,,application/pdf,39222,,,,,{BA7E1DEA-D579-45C6-AF82-59FA5FEE9415},1028,00-003,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/1756/attachments/5891
314,315,UFA09027_PA_2008.pdf,6017,,application/pdf,7613795,,,,,{3A7CE0B2-38DD-449F-B588-6FF67456E703},1081,09-027,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/864/attachments/6017
315,316,UFA10053_COPROV_2005.pdf,6060,,application/pdf,494187,,,,,{606064E7-BB0F-4419-8B8D-9D8B49AFE855},1072,10-053,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/939/attachments/6060
316,317,UFA10036_CEQTN.pdf,5540,,application/pdf,79604,,,,,{0DC5E132-CE16-45CC-AD28-0FD0BE51E46A},1103,10-036,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/830/attachments/5540
317,318,UFA09026_CEQTB.pdf,5211,,application/pdf,404100,,,,,{ED9F8BF3-335C-4682-9D61-EE762E4EF6F2},1081,09-026,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/861/attachments/5211
318,319,UFA09017_09018_DE_ATRI_2010.pdf,5927,,application/pdf,1154146,,,,,{69E82457-1667-4CD8-9736-E28B357579C7},1050,09-017,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/884/attachments/5927
319,320,UFA09013_CC.pdf,5421,,application/pdf,1820967,,,,,{013819E0-1041-464F-B506-43B8DAB0AF8F},1063,09-013,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/826/attachments/5421
320,321,UFA10012_EIE_2008.pdf,4862,,application/pdf,3657239,,,,,{5EFEECC3-AA9D-4723-8897-82FAD5DE8D0D},1016,10-012,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/799/attachments/4862
321,322,UFA10004_CODEF_2.pdf,4836,,application/pdf,443459,,,,,{EBB2E113-AABF-446E-807F-A64F734D9052},1025,10-004,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/881/attachments/4836
322,323,FC_DZENG_APU_CLA_2008.pdf,5159,,application/pdf,714344,,,,,{1502E379-112D-49CC-B8AE-67B9E68E7B56},1481,DZENG,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/917/attachments/5159
323,324,RENAISSANCE D ETSIK AMS 2011.pdf,900,,application/pdf,1064743,,,,,{1F9CCA05-A9F1-4961-9FB4-0920996EBA75},,10-02-496,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/1620/attachments/900
324,325,UFA10060CEQTB.pdf,5200,,application/pdf,130239,,,,,{E46B3100-B841-4DD7-ACF3-9C3671E19334},1060,10-064,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/870/attachments/5200
325,326,Fcom_ASSAGRIMEN_AMS_2015.pdf,830,,application/pdf,1059552,,,,,{BAA68C35-04E0-4738-9A84-03C225D271CF},,08-01,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/3441/attachments/830
326,327,Ams_memem_2014.pdf,924,,application/pdf,919635,,,,,{8FE8EF7A-35B5-4AF1-9984-5C94A06B7440},,10-02-571,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/1675/attachments/924
327,328,GIC_KIRMAN_CP_2016.pdf,949,,Unknown,306838,,,,,{21C8F97C-1082-4BD7-BD09-D794B70CA2C3},,10-04-637,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/1644/attachments/949
328,329,UFA09027_COPROV.pdf,5933,,application/pdf,2102358,,,,,{F7F5B36F-60F6-4401-9F21-6ADE1D939618},1081,09-027,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/864/attachments/5933
329,330,UFA09003_09004a_09005a_09005b_PGQ_ 2009.pdf,5829,,application/pdf,1485481,,,,,{CA0FE3A3-EF96-48E0-9CDF-1F54C1A87338},1032,09-003,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/857/attachments/5829
330,331,FC_AKOM2 _EFOULAN_ACPSON.pdf,5303,,application/pdf,25008,,,,,{A21072B7-A935-4A24-BB05-B043A4E3EC39},1485,AKOM2-EFOULAN,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/791/attachments/5303
331,332,FC_BATOURI_APU_CLA_2005_Copie.pdf,5349,,application/pdf,253040,,,,,{0EAA7878-C7FB-4F55-BBF1-5AC9BA82F423},,Batouri,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/888/attachments/5349
332,333,UFA10050_NTRANS.pdf,5478,,application/pdf,418503,,,,,{1F80FE8A-DA87-432B-97BD-698E439D18BC},1085,10-050,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/794/attachments/5478
333,334,FCOM KAFOSEL CP 2016.pdf,902,,application/pdf,1528429,,,,,{5E780336-877F-4FBC-A6C7-3EA18DB8A199},,626,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/1736/attachments/902
334,335,UFA00004_CONDEF_SIENCAM.pdf,5962,,application/pdf,1910352,,,,,{6A14B56B-F650-4742-823C-755A8E82722C},1029,00-004,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/926/attachments/5962
335,336,VC 08 04 402.pdf,3245,,application/pdf,3183326,,,,,{3B2DAC63-79E5-42C1-9C1A-FAC7C248D2E6},,0804402,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/4/4180/attachments/3245
336,337,UFA10001_CC.pdf,4938,,application/pdf,7188123,,,,,{F941E3D9-AE65-4B97-8D4B-27FB1D1849E0},1025,10-001,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/767/attachments/4938
337,338,09-015avis_au_public-Exploitation2000.pdf,1216,,application/pdf,250497,,,,,{36DE6A52-36B6-406A-AF50-EEB90CB4C29B},1035,09-015,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/773/attachments/1216
338,339,UFA10058_QTRANS.pdf,5169,,application/pdf,571309,,,,,{EDA5FF21-7841-4842-98C6-5BFBCD40882C},1009,10-058,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/899/attachments/5169
339,340,UFA10047a_RIE_2005.pdf,5227,,application/pdf,4287539,,,,,{278E8F0E-0658-46DA-8DC9-B1F1533BF352},1057,10-047A,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/1754/attachments/5227
340,341,VC_09 01 362_2016.pdf,423,,application/pdf,6270430,,,,,{1BA499CC-004F-4927-8E08-1AB8926EC08D},,0901362,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/4/869/attachments/423
341,342,UFA08004_DECLA_2005.pdf,5924,,application/pdf,163500,,,,,{F70CD197-0568-4720-9464-9826B6205F3E},1017,08-004,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/908/attachments/5924
342,343,UFA09022_RIA_2008.pdf,5958,,application/pdf,732318,,,,,{30E22E4D-F83D-4346-B714-03520360849C},1078,09-022,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/786/attachments/5958
343,344,Arrêté N° 0029 du 23 04 2015 SOBOCA.pdf,3634,,application/pdf,3201437,,,,,{6DCC5BE4-BC12-4EE3-98E1-36FE1C9E4EB9},,0904406,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/4/799/attachments/3634
344,345,Cradjamal AMS 2012.pdf,841,,application/pdf,274309,,,,,{9D91F71F-49CF-4F65-9157-605AA27CB5E4},,10-02-516,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/1393/attachments/841
345,346,UFA10041_PGQ_2004.pdf,4920,,application/pdf,1399934,,,,,{10457A4B-07AF-450D-B1F2-04EECA54756D},1019,10-041,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/783/attachments/4920
346,347,Fcom_LES BOUGEURS DE SAMBE (ABS)_AMS_04022016.pdf,812,,application/pdf,1156201,,,,,{B559CF58-046F-4B5B-BA87-5028424BB61B},,10-03-678,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/2674/attachments/812
347,348,UFA10058_COPROV.pdf,5210,,application/pdf,1945487,,,,,{9C80A832-86AA-4BDA-9730-C5F9BCF883BF},1009,10-058,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/899/attachments/5210
348,349,AVIS AU PUBLIC.pdf,432,,application/pdf,1054200,,,,,{5D2F4ABE-E2F0-4545-8942-C8E546559489},,08-01-597,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/2636/attachments/432
349,350,FC_MASSOK-SONGLOULOU_APU_CLA_2009.pdf,5281,,application/pdf,317971,,,,,{5BEE7CE6-C80C-448A-8203-C949AA42DFB4},,MASSOK-SONGLOULOU,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/906/attachments/5281
350,351,Fcom_MANGBETE_CP_23082016.pdf,811,,application/pdf,1358055,,,,,{6A1284C9-C653-412E-8F67-74370D342324},,10-04-664,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/3039/attachments/811
351,352,UFA10005_AI.pdf,5141,,application/pdf,1254810,,,,,{605786FC-D1EA-407B-A0E2-0D72B35532D6},1051,10-005A,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/795/attachments/5141
352,353,UFA11004_EIE_2008.pdf,5137,,application/pdf,571319,,,,,{6F8C5763-37EC-46A7-87D8-01FD5CD844AB},1089,11-004,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/928/attachments/5137
353,354,PA10030_10031_Révision_271115 Validation PALLISCO.pdf,6889,,application/pdf,7366501,,,,,{591093BA-AF54-4931-AB16-E728897D25C3},1041,10-031,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/836/attachments/6889
354,355,UFA10007_ACOPROV.pdf,4879,,application/pdf,496171,,,,,{8AD38D92-F81B-447D-89B1-3540EF1F259F},1010,10-007,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/845/attachments/4879
355,356,GIC_AFCVB_CP_2016.pdf,910,,Unknown,553309,,,,,{CBEC585A-3390-4EA8-8DFD-530B6D87D2FD},,09-03-380,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/1974/attachments/910
356,357,avis au public.1997.pdf,6869,,application/pdf,110728,,,,,{7416A2FE-54E5-4783-A27C-C2EEE3F1FAD7},1009,10-058,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/899/attachments/6869
357,358,PA UFA 10 057 2014.pdf,4465,,application/pdf,35338961,,,,,{D37F2F26-99BF-44EE-AAE4-0E1B043243E0},1067,10-057,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/775/attachments/4465
358,359,Enquete socio_economique.pdf,5226,,application/pdf,678314,,,,,{A0FDABF8-463C-4521-98C8-CB1952AE7ECF},1478,YOKADOUMA,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/816/attachments/5226
359,360,UFA_09-013_DC_2014.pdf,1218,,application/pdf,807802,,,,,{BA921044-10C7-4828-9D8E-3BB78FE663DF},1063,09-013,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/826/attachments/1218
360,361,FC_Dimako_DECLA.pdf,5060,,application/pdf,698695,,,,,{E2CA518A-78A5-4330-9671-B2D642D6E206},388,DIMAKO,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/797/attachments/5060
361,362,AMS_fc goudoum goudoum_2014.pdf,893,,application/pdf,374166,,,,,{B0E4EB94-BBC7-4838-8467-5F5B83D58E6F},,011,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/1544/attachments/893
362,363,UFA10007_DECLA_2005.pdf,4851,,application/pdf,2955019,,,,,{E43A912C-8136-448F-8926-73435A72FA22},1010,10-007,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/845/attachments/4851
363,364,GIC siafoum AMS 2012.pdf,885,,application/pdf,843759,,,,,{5D34D11F-6DC0-4353-AA7A-9577BF33F051},,10-02-517,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/3/1527/attachments/885
364,365,UFA09003_09004a_09005a_09005b_APROPA.pdf,4749,,application/pdf,68169,,,,,{A2DE359E-6942-435C-BB2E-83BF63E7BA87},1032,09-004A,,https://gis.forest-atlas.org/server/rest/services/otp/cmr/MapServer/0/819/attachments/4749
